1576057331,baarbratings,643,304,3183184,11
1576084971,Timschka,643,19,199319,126
1576124128,Jawi42,643,85,876515,99
1576125761,liiiliilllliilllliiliiil,733,62,649362,106
1576133947,DasHaze,882,3,30279,138
1576172159,l+ber,2201,1,2490,172
1576187360,Speckfalte,643,157,1523757,82
1576188624,kartoffelklaus1,31,1,10797,142
1576192923,Klaus+der+Nikolaus,4,116,1146973,91
1576218773,lilliililliililliilillii,733,269,2528653,40
1576221095,lilililililililililiiili,733,259,2675176,34
1576260161,tEaCh+YoU+hOw+To+PlAy,882,308,2991564,17
1576336178,gar+kein+bock,1836,21,229505,122
1576340438,armin77,0,1,3627,163
1576348420,VfB-xandi,882,235,2460287,42
1576373467,Askandi,643,275,2754603,30
1576436373,Ds-Koryph%C3%A4e,152,24,200806,125
1576450184,Sir+Goffy,399,1,895,187
1576450468,b0nes,733,167,1689701,77
1576502624,MJ.White,643,85,832691,100
1576502833,Goettlich,152,61,609684,108
1576505643,NiPz+i+Storm,55,1,445,200
1576650707,dcmudzborgh,0,0,0,229
1576655476,alpaalpaalpa,882,340,3384738,8
1576661570,lililillilillillliililil,733,216,2118887,54
1576694124,Trinfect,2315,1,71,215
1576814505,llllllllilililiililllill,733,265,2697883,33
1576838942,Dosenmaster69,31,5,41869,136
1576841685,Lady+Kenispuchen,174,1,4390,158
1576860154,Schlucke13,0,0,0,230
1576879408,chris3009,643,206,2108511,56
1576880392,stefan1809,0,1,3054,167
1576882939,BergerHustler,4,40,369185,118
1576884345,Gin.,0,69,492521,117
1576885344,fe08,643,286,2954210,19
1576920076,Schnappi1488,0,1,4443,159
1576939408,lililililililililililili,733,297,3118735,13
1576944316,Andenkarakara,643,330,3196334,10
1576947159,TodescooI,733,261,2558544,37
1576950154,Lord+Burnsens,643,361,3663539,3
1576951925,xGreenkayx,0,1,3052,168
1576969873,Sun+Tzu,733,205,2013911,65
1576973217,jobi+B.,815,1,267,208
1576980922,iliiiliiliiliilliliiilil,733,141,1461287,86
1576991527,Wickie+1974,1107,1,1372,181
1576996406,lililililililililililiil,733,272,2820367,26
1577007100,MaGuggen,2146,1,1598,179
1577014280,KCLokFlens,882,216,2105112,55
1577018427,Zottel96,152,54,543863,113
1577019187,profi06,0,0,0,231
1577025920,Sikk97,0,1,206,212
1577030750,Arthrosetoaster,2225,1,2887,169
1577037113,Drunken+Jedi,2354,1,525,199
1577044420,DonJenser,882,237,2552193,38
1577060953,EasySnacks,733,172,1752661,72
1577064445,Nightwolf,643,234,2375928,45
1577070025,iilliiiliillliiiiillilll,733,250,2561995,36
1577073548,udolin,399,1,2250,174
1577091150,masterkill95,733,21,214852,123
1577091188,Ultimate+Goku,152,228,2282239,50
1577096184,Korri+Karte,0,1,26,222
1577118249,baba+hood,0,1,26,223
1577127316,St%C3%B6rtebeker+I.,0,1,10059,146
1577127763,iliilliiililiiiiililiili,4,234,2404134,43
1577133527,lllllllillililiilllllill,733,298,3208389,9
1577135728,Nilser,152,1,10175,144
1577136025,Minidekus92,4,59,537750,115
1577138412,Sven+1974,1107,1,914,186
1577148092,Etstargamer,4,100,972999,97
1577150723,XXDarkNightXX,643,168,1738229,74
1577153052,Schatten99,4,106,1080531,93
1577153597,Schermo,643,296,2914371,20
1577160178,%2AM%C3%BCnchen,4,170,1491365,83
1577163047,lililililililililililill,733,283,2904943,22
1577163311,Timo99,882,148,1477021,85
1577163330,lliilliilliilliilliillii,733,236,2532325,39
1577163397,derBabadook,617,1,6603,152
1577163886,Black+Cobra,152,30,313494,120
1577171033,L%C3%A4ufer,0,1,1182,182
1577171560,Harakiri+Kawasaki.,643,57,602303,110
1577173457,Hikaru+Matsuyama.,643,20,208754,124
1577173551,Mergimtar,882,78,773605,103
1577174560,Cherusker55,0,1,2089,175
1577175387,lllilllillilililillilill,733,288,2881760,23
1577175443,HilloGames,4,279,2843203,24
1577176189,lllllllilililiililllilll,733,192,2013501,66
1577176795,Tinchen285,55,1,2575,170
1577176958,MultiCore,0,1,53,216
1577177113,lllllllilililiilllllilll,733,266,2790635,27
1577178554,lilliililililililililili,733,236,2481127,41
1577179274,MasonGunner,152,207,2050328,62
1577181643,MadMaxx,643,82,830709,101
1577181814,Lord+Jesus+Kistus.,152,288,2980420,18
1577182589,Bitobsch,2010,9,56557,134
1577182941,Sweet+Svetlana,0,0,0,232
1577183490,lliilliiiiilliiiiilliill,733,176,1744555,73
1577183825,Watzinger95,152,1,9833,147
1577184672,maxidiekleine,643,131,1296576,89
1577184948,Mc+Hammer+1980,0,1,3795,162
1577185886,1Talent,0,1,26,224
1577186670,Nucle4r,643,279,2842232,25
1577187211,August.iner,643,195,2020593,64
1577187227,Heinz34,643,8,81342,131
1577187434,EyeSpy,882,272,2721491,31
1577188486,lililillillilllliiillill,733,168,1714187,75
1577188944,TinaEevee,399,1,3403,165
